source_text,translated_text,context
Our Menu,Il Nostro Menu,
About Us,Chi Siamo,
Gallery,Galleria,
Reserve a Table,Prenota un Tavolo,
Events,Eventi,
Order Online,Ordina Online,
Contact Us,Contattaci,
Track Your Order,Traccia il Tuo Ordine,
Home,Home,
Menu,Menu,
Reservation,Prenotazione,
New,Nuovo,
Bestseller,Più Venduto,
Fresh Ingredients,Ingredienti Freschi,
Expert Chefs,Chef Esperti,
Made with Love,Fatto con Amore,
Opening Hours,Orari di Apertura,
Subscribe,Iscriviti,
Book Now,Prenota Ora,
Delivery,Consegna,
Pickup,Ritiro,
Place Order,Conferma Ordine,
