source_text,source_text
Our Menu,Our Menu
Discover our selection of authentic Italian dishes,Discover our selection of authentic Italian dishes
All,All
About Us,About Us
🕯️ Welcome to Candela!,🕯️ Welcome to Candela!
Candela is your complete restaurant management platform. Let's walk through everything it can do!,Candela is your complete restaurant management platform. Let's walk through everything it can do!
Menu,Menu
Create and manage your full menu with categories items ingredients dietary tags and pricing,Create and manage your full menu with categories items ingredients dietary tags and pricing
Orders,Orders
Take orders via POS terminal or online website — both flow into the same kitchen queue,Take orders via POS terminal or online website — both flow into the same kitchen queue
Reservations,Reservations
Customers book tables online — you manage availability and send confirmations,Customers book tables online — you manage availability and send confirmations
Kitchen,Kitchen
Real-time kitchen display shows incoming orders organized by station,Real-time kitchen display shows incoming orders organized by station
Inventory,Inventory
Track ingredients create purchase requests receive goods do stock counts,Track ingredients create purchase requests receive goods do stock counts
Reports,Reports
Sales analysis food cost reports reservation analytics staff performance,Sales analysis food cost reports reservation analytics staff performance
DocType Relationships,DocType Relationships
Here's how all the data in Candela connects together:,Here's how all the data in Candela connects together:
Core Workflow,Core Workflow
The typical flow from customer to cash register:,The typical flow from customer to cash register:
Customer makes a reservation or places an order online,Customer makes a reservation or places an order online
Order appears in kitchen display organized by station,Order appears in kitchen display organized by station
Chef prepares food marks production log with ingredients used,Chef prepares food marks production log with ingredients used
Stock is automatically deducted from inventory,Stock is automatically deducted from inventory
Cashier creates POS invoice and processes payment,Cashier creates POS invoice and processes payment
Manager reviews daily closing report,Manager reviews daily closing report
Your Permissions,Your Permissions
Candela uses role-based access control with CAPS (Capability Access Permission System):,Candela uses role-based access control with CAPS (Capability Access Permission System):
Role,Role
Can Access,Can Access
Manager,Manager
Everything — settings reports approvals staff management,Everything — settings reports approvals staff management
Chef,Chef
Kitchen display production logs recipes ingredient stock levels,Kitchen display production logs recipes ingredient stock levels
Waiter,Waiter
Table map POS reservations customer notes,Table map POS reservations customer notes
Cashier,Cashier
POS terminal shift management daily expenses,POS terminal shift management daily expenses
Procurement,Procurement
Purchase requests/orders suppliers goods receipt inventory,Purchase requests/orders suppliers goods receipt inventory
Marketing,Marketing
Campaigns promo codes reviews newsletter events,Campaigns promo codes reviews newsletter events
Getting Help,Getting Help
You can always access help from anywhere in Candela:,You can always access help from anywhere in Candela:
Form Help,Form Help
Click the ❓ button on any form's toolbar to see context-specific guidance,Click the ❓ button on any form's toolbar to see context-specific guidance
Onboarding,Onboarding
Visit /candela-onboarding anytime to review this guide,Visit /candela-onboarding anytime to review this guide
About Page,About Page
Visit /candela-about for the full app showcase with diagrams,Visit /candela-about for the full app showcase with diagrams
Start Using Candela,Start Using Candela
← Previous,← Previous
Next →,Next →
User Management,User Management
Search users...,Search users...
Select a user from the list,Select a user from the list
Candela Roles,Candela Roles
Active Capabilities,Active Capabilities
Permission Map,Permission Map
No CAPS capabilities assigned,No CAPS capabilities assigned
CAPS not available,CAPS not available
Removed {0},Removed {0}
Added {0},Added {0}
Error updating role: {0},Error updating role: {0}
❓ Help,❓ Help
Help: {0},Help: {0}
No help available for this topic yet.,No help available for this topic yet.
Candela Onboarding,Candela Onboarding
{0} Guide,{0} Guide
About Candela Restaurant,About Candela Restaurant
User Management — Candela,User Management — Candela
Login required,Login required
Not permitted,Not permitted
Manager Dashboard,Manager Dashboard
Staff Management,Staff Management
Daily Closing,Daily Closing
Procurement Approvals,Procurement Approvals
Kitchen Display,Kitchen Display
Production Logging,Production Logging
Stock Alerts,Stock Alerts
Table Map,Table Map
POS Terminal,POS Terminal
POS Shift,POS Shift
Daily Expenses,Daily Expenses
Purchase Flow,Purchase Flow
Suppliers,Suppliers
Warehouses,Warehouses
Campaigns,Campaigns
Promo Codes,Promo Codes
Reviews,Reviews
Candela Settings,Candela Settings
Opening Hours,Opening Hours
Menu Items,Menu Items
Pricing,Pricing
Status Flow,Status Flow
Online Orders,Online Orders
Kitchen Integration,Kitchen Integration
POS Invoices,POS Invoices
Stock Entries,Stock Entries
Kitchen Stations,Kitchen Stations
A story of authentic Italian passion in the heart of Cairo,A story of authentic Italian passion in the heart of Cairo
Our Story,Our Story
Our Values,Our Values
Fresh Ingredients,Fresh Ingredients
We select the finest fresh ingredients daily to ensure the highest quality,We select the finest fresh ingredients daily to ensure the highest quality
Expert Chefs,Expert Chefs
A team of expert chefs with experience in authentic Italian cuisine,A team of expert chefs with experience in authentic Italian cuisine
Made with Love,Made with Love
Every dish is prepared with passion and meticulous care,Every dish is prepared with passion and meticulous care
Opening Hours,Opening Hours
Gallery,Gallery
Glimpses of our ambiance and dishes,Glimpses of our ambiance and dishes
Food,Food
Interior,Interior
Events,Events
Kitchen,Kitchen
Exterior,Exterior
Reserve a Table,Reserve a Table
Book your table and enjoy an unforgettable dining experience,Book your table and enjoy an unforgettable dining experience
Full Name,Full Name
Phone Number,Phone Number
Email,Email
Date,Date
Time,Time
Number of Guests,Number of Guests
Occasion,Occasion
Birthday,Birthday
Anniversary,Anniversary
Business,Business
Date Night,Date Night
Other,Other
Seating Preference,Seating Preference
No Preference,No Preference
Indoor,Indoor
Outdoor,Outdoor
Private Room,Private Room
Bar,Bar
Special Requests,Special Requests
Confirm Reservation,Confirm Reservation
Reservation Confirmed!,Reservation Confirmed!
We will contact you shortly to confirm your reservation.,We will contact you shortly to confirm your reservation.
Back to Home,Back to Home
Discover our upcoming events and reserve your spot,Discover our upcoming events and reserve your spot
Book Now,Book Now
No upcoming events at the moment. Stay tuned!,No upcoming events at the moment. Stay tuned!
Order Online,Order Online
Choose your favorite dishes for delivery or pickup,Choose your favorite dishes for delivery or pickup
Online ordering is not available yet,Online ordering is not available yet
Contact us directly to place an order,Contact us directly to place an order
Delivery,Delivery
Pickup,Pickup
Your Order,Your Order
Your cart is empty,Your cart is empty
Delivery Zone,Delivery Zone
Select zone,Select zone
Promo Code,Promo Code
Enter code,Enter code
Apply,Apply
Subtotal,Subtotal
Delivery Fee,Delivery Fee
Discount,Discount
Total,Total
Name,Name
Phone,Phone
Delivery Address,Delivery Address
Notes (optional),Notes (optional)
Place Order,Place Order
Order Placed!,Order Placed!
Track Order,Track Order
Track Your Order,Track Your Order
Tracking Token,Tracking Token
Enter your tracking token,Enter your tracking token
Track,Track
Pending,Pending
Confirmed,Confirmed
Preparing,Preparing
Ready,Ready
Out for Delivery,Out for Delivery
Delivered,Delivered
Order Details,Order Details
Order Not Found,Order Not Found
Please check your tracking token and try again.,Please check your tracking token and try again.
Contact Us,Contact Us
We would love to hear from you,We would love to hear from you
Contact Information,Contact Information
Address,Address
WhatsApp,WhatsApp
View Full Menu,View Full Menu
Featured Menu,Featured Menu
What Our Guests Say,What Our Guests Say
Upcoming Events,Upcoming Events
Subscribe to Newsletter,Subscribe to Newsletter
Enter your email,Enter your email
Subscribe,Subscribe
Home,Home
Menu,Menu
About,About
Contact,Contact
Reservation,Reservation
New,New
Bestseller,Bestseller
View Website,View Website
Candela Admin Dashboard,Candela Admin Dashboard
Pending Reservations,Pending Reservations
Active Orders,Active Orders
Menu Items,Menu Items
Pending Reviews,Pending Reviews
Reservations,Reservations
Manage table reservations,Manage table reservations
Orders,Orders
Manage online orders,Manage online orders
Manage menu items,Manage menu items
Reviews,Reviews
Approve customer reviews,Approve customer reviews
Manage events,Manage events
Settings,Settings
Candela settings,Candela settings
Saturday,Saturday
Sunday,Sunday
Monday,Monday
Tuesday,Tuesday
Wednesday,Wednesday
Thursday,Thursday
Friday,Friday
Closed,Closed
EGP,EGP
person,person
people,people
Optional,Optional
Enter your name,Enter your name
Any special requests...,Any special requests...
Submitting...,Submitting...
An error occurred. Please try again.,An error occurred. Please try again.
added,added
Discount applied,Discount applied
Invalid code,Invalid code
Please enter name and phone,Please enter name and phone
Please enter delivery address,Please enter delivery address
No menu items available yet.,No menu items available yet.
No gallery images yet.,No gallery images yet.
For inquiries contact us,For inquiries contact us
Quick Links,Quick Links
Follow Us,Follow Us
All Rights Reserved,All Rights Reserved
Made with ❤️ by Arkan Labs,Made with ❤️ by Arkan Labs
{0} demo records removed,{0} demo records removed
Auto-generated from low stock alert,Auto-generated from low stock alert
Below minimum stock: {0} {1},Below minimum stock: {0} {1}
Demo data is already installed.,Demo data is already installed.
⚠️ Food cost {0}% exceeds target {1}%,⚠️ Food cost {0}% exceeds target {1}%
Invalid promo code,Invalid promo code
Invoice must contain at least one item,Invoice must contain at least one item
⚠️ Low stock: {0} — needed {1} {2} available {3},⚠️ Low stock: {0} — needed {1} {2} available {3}
Maximum party size is {0},Maximum party size is {0}
Menu item not found,Menu item not found
Newsletter is currently disabled,Newsletter is currently disabled
No demo data to remove.,No demo data to remove.
Not specified,Not specified
Online Order {0} not found,Online Order {0} not found
Online ordering is currently disabled,Online ordering is currently disabled
Order must contain at least one item,Order must contain at least one item
Order not found,Order not found
Order placed successfully!,Order placed successfully!
POS Invoice {0} not found,POS Invoice {0} not found
📝 Price change logged: {0} → {1} ({2}%),📝 Price change logged: {0} → {1} ({2}%)
Promo code applied!,Promo code applied!
Reservations are currently disabled,Reservations are currently disabled
Reservation submitted successfully!,Reservation submitted successfully!
Reviews are currently disabled,Reviews are currently disabled
Scheduled preventive maintenance for {0},Scheduled preventive maintenance for {0}
Shift is not open,Shift is not open
Successfully subscribed!,Successfully subscribed!
Table {0} not found,Table {0} not found
Thank you for your review! It will be published after approval.,Thank you for your review! It will be published after approval.
This promo code has expired,This promo code has expired
This promo code has reached its usage limit,This promo code has reached its usage limit
This promo code is no longer active,This promo code is no longer active
This promo code is not yet valid,This promo code is not yet valid
You already have an open shift: {0}. Close it first.,You already have an open shift: {0}. Close it first.
You are already subscribed!,You are already subscribed!
Procurement,Procurement
Warehouses,Warehouses
Production,Production
Shifts,Shifts
Daily Closing,Daily Closing
Assets,Assets
Marketing,Marketing
Inventory,Inventory
Staff,Staff
Reports,Reports
Kitchen Display,Kitchen Display
Table Management,Table Management
POS Terminal,POS Terminal
Admin Dashboard,Admin Dashboard
Purchase Request,Purchase Request
Purchase Order,Purchase Order
Goods Receipt Note,Goods Receipt Note
Candela Supplier,Candela Supplier
Candela Warehouse,Candela Warehouse
Stock Transfer,Stock Transfer
Stock Reconciliation,Stock Reconciliation
Kitchen Station,Kitchen Station
Production Log,Production Log
Production Waste,Production Waste
POS Shift,POS Shift
Daily Expense,Daily Expense
Price Change Log,Price Change Log
Restaurant Asset,Restaurant Asset
Maintenance Request,Maintenance Request
Customer Persona,Customer Persona
Service Mode,Service Mode
Influencer,Influencer
Influencer Visit,Influencer Visit
Corporate Account,Corporate Account
Corporate Lunch Package,Corporate Lunch Package
Marketing Campaign,Marketing Campaign
Campaign Activity,Campaign Activity
Content Calendar Entry,Content Calendar Entry
Online Review,Online Review
Cafe Amenity,Cafe Amenity
Competitor,Competitor
Staff Member,Staff Member
Chef Profile,Chef Profile
Restaurant Section,Restaurant Section
Restaurant Event,Restaurant Event
Gift Card,Gift Card
Private Dining Package,Private Dining Package
Gallery Image,Gallery Image
Newsletter Subscriber,Newsletter Subscriber
Stock Entry,Stock Entry
