source_text,translated_text,context
Our Menu,المنيو,
Discover our selection of authentic Italian dishes,اكتشف تشكيلتنا من أشهى المأكولات الإيطالية,
All,الكل,
About Us,من نحن,
🕯️ Welcome to Candela!,🕯️ أهلاً بك في كانديلا!,
Candela is your complete restaurant management platform. Let's walk through everything it can do!,كانديلا هي منصتك المتكاملة لإدارة المطاعم. دعنا نستعرض كل ما يمكنها فعله!,
Menu,القائمة,
Create and manage your full menu with categories items ingredients dietary tags and pricing,أنشئ وأدر قائمة طعامك الكاملة بالأصناف والمكونات والعلامات الغذائية والأسعار,
Orders,الطلبات,
Take orders via POS terminal or online website — both flow into the same kitchen queue,استقبل الطلبات عبر نقطة البيع أو الموقع — كلاهما يصل لشاشة المطبخ,
Reservations,الحجوزات,
Customers book tables online — you manage availability and send confirmations,يحجز العملاء طاولاتهم أونلاين — وأنت تدير التوفر وترسل التأكيدات,
Kitchen,المطبخ,
Real-time kitchen display shows incoming orders organized by station,شاشة المطبخ تعرض الطلبات فوراً مرتبة حسب المحطة,
Inventory,المخزون,
Track ingredients create purchase requests receive goods do stock counts,تتبع المكونات وأنشئ طلبات الشراء واستلم البضائع وقم بالجرد,
Reports,التقارير,
Sales analysis food cost reports reservation analytics staff performance,تحليل المبيعات وتقارير تكلفة الطعام وتحليلات الحجوزات وأداء الموظفين,
DocType Relationships,علاقات المستندات,
"Here's how all the data in Candela connects together:",هكذا تترابط جميع البيانات في كانديلا:,
Core Workflow,سير العمل الأساسي,
"The typical flow from customer to cash register:",المسار النموذجي من العميل إلى الكاشير:,
Customer makes a reservation or places an order online,العميل يحجز طاولة أو يطلب أونلاين,
Order appears in kitchen display organized by station,الطلب يظهر في شاشة المطبخ مرتباً حسب المحطة,
Chef prepares food marks production log with ingredients used,الشيف يحضّر الطعام ويسجل المكونات المستخدمة,
Stock is automatically deducted from inventory,المخزون يُخصم تلقائياً,
Cashier creates POS invoice and processes payment,الكاشير ينشئ فاتورة نقطة البيع ويعالج الدفع,
Manager reviews daily closing report,المدير يراجع تقرير الإقفال اليومي,
Your Permissions,صلاحياتك,
"Candela uses role-based access control with CAPS (Capability Access Permission System):",كانديلا تستخدم نظام صلاحيات CAPS القائم على الأدوار:,
Role,الدور,
Can Access,يمكنه الوصول إلى,
Manager,المدير,
"Everything — settings reports approvals staff management",كل شيء — الإعدادات والتقارير والموافقات وإدارة الموظفين,
Chef,الشيف,
"Kitchen display production logs recipes ingredient stock levels",شاشة المطبخ وسجلات الإنتاج والوصفات ومستويات المخزون,
Waiter,النادل,
"Table map POS reservations customer notes",خريطة الطاولات ونقطة البيع والحجوزات وملاحظات العملاء,
Cashier,الكاشير,
"POS terminal shift management daily expenses",نقطة البيع وإدارة الورديات والمصروفات اليومية,
Procurement,المشتريات,
"Purchase requests/orders suppliers goods receipt inventory",طلبات الشراء والموردين واستلام البضائع والمخزون,
Marketing,التسويق,
"Campaigns promo codes reviews newsletter events",الحملات وأكواد العروض والتقييمات والنشرة والفعاليات,
Getting Help,الحصول على مساعدة,
"You can always access help from anywhere in Candela:",يمكنك الوصول للمساعدة من أي مكان في كانديلا:,
Form Help,مساعدة النموذج,
"Click the ❓ button on any form's toolbar to see context-specific guidance",انقر زر ❓ في شريط أدوات أي نموذج لعرض إرشادات سياقية,
Onboarding,دليل البدء,
"Visit /candela-onboarding anytime to review this guide",زر /candela-onboarding في أي وقت لمراجعة هذا الدليل,
About Page,صفحة عن التطبيق,
"Visit /candela-about for the full app showcase with diagrams",زر /candela-about لعرض كامل التطبيق مع المخططات,
Start Using Candela,ابدأ استخدام كانديلا,
← Previous,← السابق,
Next →,التالي →,
User Management,إدارة المستخدمين,
Search users...,ابحث عن مستخدمين...,
Select a user from the list,اختر مستخدماً من القائمة,
Candela Roles,أدوار كانديلا,
Active Capabilities,الصلاحيات الفعالة,
Permission Map,خريطة الصلاحيات,
No CAPS capabilities assigned,لا توجد صلاحيات CAPS مخصصة,
CAPS not available,نظام CAPS غير متوفر,
Removed {0},تم إزالة {0},
Added {0},تم إضافة {0},
Error updating role: {0},خطأ في تحديث الدور: {0},
❓ Help,❓ مساعدة,
Help: {0},مساعدة: {0},
No help available for this topic yet.,لا تتوفر مساعدة لهذا الموضوع حالياً.,
Candela Onboarding,دليل بدء كانديلا,
{0} Guide,دليل {0},
About Candela Restaurant,عن مطعم كانديلا,
User Management — Candela,إدارة المستخدمين — كانديلا,
Login required,تسجيل الدخول مطلوب,
Not permitted,غير مسموح,
Manager Dashboard,لوحة تحكم المدير,
Staff Management,إدارة الموظفين,
Daily Closing,الإقفال اليومي,
Procurement Approvals,موافقات المشتريات,
Kitchen Display,شاشة المطبخ,
Production Logging,تسجيل الإنتاج,
Stock Alerts,تنبيهات المخزون,
Table Map,خريطة الطاولات,
POS Terminal,نقطة البيع,
POS Shift,وردية نقطة البيع,
Daily Expenses,المصروفات اليومية,
Purchase Flow,مسار الشراء,
Suppliers,الموردين,
Warehouses,المستودعات,
Campaigns,الحملات,
Promo Codes,أكواد العروض,
Reviews,التقييمات,
Candela Settings,إعدادات كانديلا,
Opening Hours,ساعات العمل,
Menu Items,أصناف القائمة,
Pricing,التسعير,
Status Flow,مسار الحالة,
Online Orders,الطلبات الإلكترونية,
Kitchen Integration,ربط المطبخ,
POS Invoices,فواتير نقطة البيع,
Stock Entries,حركات المخزون,
Kitchen Stations,محطات المطبخ,
A story of authentic Italian passion in the heart of Cairo,قصة شغف إيطالي أصيل في قلب القاهرة,
Our Story,قصتنا,
Our Values,قيمنا,
Fresh Ingredients,مكونات طازجة,
We select the finest fresh ingredients daily to ensure the highest quality,نختار أفضل المكونات الطازجة يومياً لضمان أعلى جودة,
Expert Chefs,طهاة محترفون,
A team of expert chefs with experience in authentic Italian cuisine,فريق من الطهاة المحترفين ذوي الخبرة في المطبخ الإيطالي الأصيل,
Made with Love,صنع بحب,
Every dish is prepared with passion and meticulous care,كل طبق يتم إعداده بشغف وعناية فائقة,
Opening Hours,ساعات العمل,
Gallery,معرض الصور,
Glimpses of our ambiance and dishes,لمحات من أجوائنا وأطباقنا,
Food,الطعام,
Interior,الداخل,
Events,الفعاليات,
Kitchen,المطبخ,
Exterior,الخارج,
Reserve a Table,حجز طاولة,
Book your table and enjoy an unforgettable dining experience,احجز طاولتك واستمتع بتجربة طعام لا تُنسى,
Full Name,الاسم الكامل,
Phone Number,رقم الهاتف,
Email,البريد الإلكتروني,
Date,التاريخ,
Time,الوقت,
Number of Guests,عدد الأشخاص,
Occasion,المناسبة,
Birthday,عيد ميلاد,
Anniversary,ذكرى زواج,
Business,عمل,
Date Night,سهرة رومانسية,
Other,أخرى,
Seating Preference,تفضيل الجلسة,
No Preference,بدون تفضيل,
Indoor,داخلي,
Outdoor,خارجي,
Private Room,غرفة خاصة,
Bar,البار,
Special Requests,طلبات خاصة,
Confirm Reservation,تأكيد الحجز,
Reservation Confirmed!,تم الحجز بنجاح!,
We will contact you shortly to confirm your reservation.,سنتواصل معك قريباً لتأكيد الحجز,
Back to Home,العودة للرئيسية,
Discover our upcoming events and reserve your spot,اكتشف فعالياتنا القادمة واحجز مقعدك,
Book Now,احجز الآن,
No upcoming events at the moment. Stay tuned!,لا توجد فعاليات قادمة حالياً. تابعنا للمزيد!,
Order Online,اطلب أونلاين,
Choose your favorite dishes for delivery or pickup,اختر أطباقك المفضلة واطلبها للتوصيل أو الاستلام,
Online ordering is not available yet,الطلب أونلاين غير متاح حالياً,
Contact us directly to place an order,تواصل معنا مباشرة للطلب,
Delivery,توصيل,
Pickup,استلام,
Your Order,سلة الطلب,
Your cart is empty,السلة فارغة,
Delivery Zone,منطقة التوصيل,
Select zone,اختر المنطقة,
Promo Code,كود خصم,
Enter code,أدخل الكود,
Apply,تطبيق,
Subtotal,المجموع الفرعي,
Delivery Fee,رسوم التوصيل,
Discount,خصم,
Total,الإجمالي,
Name,الاسم,
Phone,رقم الهاتف,
Delivery Address,عنوان التوصيل,
Notes (optional),ملاحظات (اختياري),
Place Order,تأكيد الطلب,
Order Placed!,تم الطلب بنجاح!,
Track Order,تتبع الطلب,
Track Your Order,تتبع الطلب,
Tracking Token,رمز التتبع,
Enter your tracking token,أدخل رمز التتبع,
Track,تتبع,
Pending,في الانتظار,
Confirmed,مؤكد,
Preparing,قيد التحضير,
Ready,جاهز,
Out for Delivery,في الطريق,
Delivered,تم التوصيل,
Order Details,تفاصيل الطلب,
Order Not Found,لم يتم العثور على الطلب,
Please check your tracking token and try again.,تأكد من رمز التتبع وحاول مرة أخرى,
Contact Us,تواصل معنا,
We would love to hear from you,نسعد بتواصلكم معنا,
Contact Information,معلومات التواصل,
Address,العنوان,
WhatsApp,واتساب,
View Full Menu,عرض المنيو الكامل,
Featured Menu,قائمة مميزة,
What Our Guests Say,ماذا يقول ضيوفنا,
Upcoming Events,الفعاليات القادمة,
Subscribe to Newsletter,اشترك في النشرة البريدية,
Enter your email,أدخل بريدك الإلكتروني,
Subscribe,اشترك,
Home,الرئيسية,
Menu,المنيو,
About,من نحن,
Contact,تواصل معنا,
Reservation,الحجز,
New,جديد,
Bestseller,الأكثر مبيعاً,
View Website,عرض الموقع,
Candela Admin Dashboard,لوحة إدارة كانديلا,
Pending Reservations,حجوزات معلقة,
Active Orders,طلبات نشطة,
Menu Items,أطباق في المنيو,
Pending Reviews,مراجعات معلقة,
Reservations,الحجوزات,
Manage table reservations,إدارة حجوزات الطاولات,
Orders,الطلبات,
Manage online orders,إدارة الطلبات أونلاين,
Manage menu items,إدارة أصناف المنيو,
Reviews,المراجعات,
Approve customer reviews,الموافقة على مراجعات العملاء,
Manage events,إدارة الفعاليات والأحداث,
Settings,الإعدادات,
Candela settings,إعدادات كانديلا,
Saturday,السبت,
Sunday,الأحد,
Monday,الاثنين,
Tuesday,الثلاثاء,
Wednesday,الأربعاء,
Thursday,الخميس,
Friday,الجمعة,
Closed,مغلق,
EGP,ج.م,
person,شخص,
people,أشخاص,
Optional,اختياري,
Enter your name,أدخل اسمك,
Any special requests...,أي طلبات خاصة...,
Submitting...,جاري الحجز...,
An error occurred. Please try again.,حدث خطأ، حاول مرة أخرى,
added,تمت الإضافة,
Discount applied,تم تطبيق الخصم,
Invalid code,كود غير صالح,
